location,description,secs,category,CDNumber,CDName,tracknum,clusterLabel,clusterName
07022164.wav,Domestic clock striking six o'clock. (Domestic clock with Westminster chimes.),44,,EC48P,Domestic Clock: Westminster Chimes,12,3.0,clock
07022165.wav,Domestic clock striking seven o'clock. (Domestic clock with Westminster chimes.),45,,EC48Q,Clocks,1,3.0,clock
07022166.wav,Domestic clock striking eight o'clock. (Domestic clock with Westminster chimes.),46,,EC48Q,Clocks,2,3.0,clock
07022167.wav,Domestic clock striking nine o'clock. (Domestic clock with Westminster chimes.),49,,EC48Q,Clocks,3,3.0,clock
07022168.wav,Domestic clock ticking. (Domestic clock with Westminster chimes.),131,,EC48Q,Clocks,4,3.0,clock
07022169.wav,Domestic clock ticking slowly.,113,,EC48Q,Clocks,5,3.0,clock
07022173.wav,"Grandfather clock striking quarter past the hour. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",14,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",1,3.0,clock
07022174.wav,"Grandfather clock striking half past the hour. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",16,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",2,3.0,clock
07022175.wav,"Grandfather clock striking quarter to the hour. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",19,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",3,3.0,clock
07022177.wav,"Grandfather clock striking eleven o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",49,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",5,3.0,clock
07022178.wav,"Grandfather clock striking twelve o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",52,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",6,3.0,clock
07022179.wav,"Grandfather clock striking one o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",26,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",7,3.0,clock
07022180.wav,"Grandfather clock striking two o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",29,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",8,3.0,clock
07022181.wav,"Grandfather clock striking three o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",30,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",9,3.0,clock
07022182.wav,"Grandfather clock striking four o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",33,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",10,3.0,clock
07022183.wav,"Grandfather clock striking five o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",35,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",11,3.0,clock
07022184.wav,"Grandfather clock striking six o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",40,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",12,3.0,clock
07022185.wav,"Grandfather clock striking seven o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",41,,EC48S,Clocks,1,3.0,clock
07022186.wav,"Grandfather clock striking eight o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",47,,EC48S,Clocks,2,3.0,clock
07022187.wav,"Grandfather clock striking nine o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",50,,EC48S,Clocks,3,3.0,clock
07022188.wav,"Grandfather clock ticking. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",186,,EC48S,Clocks,4,3.0,clock
07022189.wav,"Grandfather clock ticking. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",123,,EC48S,Clocks,5,3.0,clock
07022190.wav,Winding up cuckoo clock.,27,,EC48S,Clocks,6,3.0,clock
07022191.wav,Cuckoo clock ticking.,243,,EC48S,Clocks,7,3.0,clock
07022192.wav,Cuckoo clock striking one o'clock. (Cuckoo & chimes.) (NB half-hour is same as one o'clock.),6,,EC48T,Cuckoo Clock (Cuckoo & Chimes),1,3.0,clock
07022163.wav,Domestic clock striking five o'clock. (Domestic clock with Westminster chimes.),41,,EC48P,Domestic Clock: Westminster Chimes,11,3.0,clock
07022162.wav,Domestic clock striking four o'clock. (Domestic clock with Westminster chimes.),39,,EC48P,Domestic Clock: Westminster Chimes,10,3.0,clock
07022161.wav,Domestic clock striking three o'clock. (Domestic clock with Westminster chimes.),38,,EC48P,Domestic Clock: Westminster Chimes,9,3.0,clock
07022160.wav,Domestic clock striking two o'clock. (Domestic clock with Westminster chimes.),36,,EC48P,Domestic Clock: Westminster Chimes,8,3.0,clock
07022134.wav,"Domestic clock striking eight o'clock. (English domestic clock, manufactured 1810.)",34,,EC48M,Domestic Clock Ticking,2,3.0,clock
07022135.wav,"Domestic clock striking nine o'clock. (English domestic clock, manufactured 1810.)",35,,EC48M,Domestic Clock Ticking,3,3.0,clock
07022136.wav,"Domestic clock ticking. (English domestic clock, manufactured 1810.)",121,,EC48M,Domestic Clock Ticking,4,3.0,clock
07022137.wav,Domestic clock ticking.,96,,EC48M,Domestic Clock Ticking,5,3.0,clock
07022138.wav,Domestic clock ticking.,98,,EC48M,Domestic Clock Ticking,6,3.0,clock
07022139.wav,Domestic clock ticking.,96,,EC48M,Domestic Clock Ticking,7,3.0,clock
07022140.wav,Domestic clock ticking.,95,,EC48M,Domestic Clock Ticking,8,3.0,clock
07022141.wav,Domestic clock striking ten o'clock. (Nineteenth century domestic clock.),23,,EC48N,Domestic Clock (19Th Century),1,3.0,clock
07022142.wav,Domestic clock striking eleven o'clock. (Nineteenth century domestic clock.),24,,EC48N,Domestic Clock (19Th Century),2,3.0,clock
07022143.wav,Domestic clock striking twelve o'clock. (Nineteenth century domestic clock.),25,,EC48N,Domestic Clock (19Th Century),3,3.0,clock
07022144.wav,Domestic clock striking one o'clock. (Nineteenth century domestic clock.),16,,EC48N,Domestic Clock (19Th Century),4,3.0,clock
07022145.wav,Domestic clock striking two o'clock. (Nineteenth century domestic clock.),16,,EC48N,Domestic Clock (19Th Century),5,3.0,clock
07022193.wav,Cuckoo clock striking two o'clock. (Cuckoo & chimes.),7,,EC48T,Cuckoo Clock (Cuckoo & Chimes),2,3.0,clock
07022146.wav,Domestic clock striking three o'clock. (Nineteenth century domestic clock.),17,,EC48N,Domestic Clock (19Th Century),6,3.0,clock
07022148.wav,Domestic clock striking five o'clock. (Nineteenth century domestic clock.),19,,EC48N,Domestic Clock (19Th Century),8,3.0,clock
07022149.wav,Domestic clock striking six o'clock. (Nineteenth century domestic clock.),20,,EC48N,Domestic Clock (19Th Century),9,3.0,clock
07022150.wav,Domestic clock striking seven o'clock. (Nineteenth century domestic clock.),21,,EC48N,Domestic Clock (19Th Century),10,3.0,clock
07022151.wav,Domestic clock striking eight o'clock. (Nineteenth century domestic clock.),21,,EC48N,Domestic Clock (19Th Century),11,3.0,clock
07022152.wav,Domestic clock striking nine o'clock. (Nineteenth century domestic clock.),22,,EC48N,Domestic Clock (19Th Century),12,3.0,clock
07022153.wav,Domestic clock striking quarter past the hour. (Domestic clock with Westminster chimes.),18,,EC48P,Domestic Clock: Westminster Chimes,1,3.0,clock
07022154.wav,Domestic clock striking half past the hour. (Domestic clock with Westminster chimes.),18,,EC48P,Domestic Clock: Westminster Chimes,2,3.0,clock
07022155.wav,Domestic clock striking quarter to the hour. (Domestic clock with Westminster chimes.),23,,EC48P,Domestic Clock: Westminster Chimes,3,3.0,clock
07022156.wav,Domestic clock striking ten o'clock. (Domestic clock with Westminster chimes.),52,,EC48P,Domestic Clock: Westminster Chimes,4,3.0,clock
07022157.wav,Domestic clock striking eleven o'clock. (Domestic clock with Westminster chimes.),53,,EC48P,Domestic Clock: Westminster Chimes,5,3.0,clock
07022158.wav,Domestic clock striking twelve o'clock. (Domestic clock with Westminster chimes.),55,,EC48P,Domestic Clock: Westminster Chimes,6,3.0,clock
07022159.wav,Domestic clock striking one o'clock. (Domestic clock with Westminster chimes.),34,,EC48P,Domestic Clock: Westminster Chimes,7,3.0,clock
07022147.wav,Domestic clock striking four o'clock. (Nineteenth century domestic clock.),18,,EC48N,Domestic Clock (19Th Century),7,3.0,clock
07022133.wav,"Domestic clock striking seven o'clock. (English domestic clock, manufactured 1810.)",33,,EC48M,Domestic Clock Ticking,1,3.0,clock
07022194.wav,Cuckoo clock striking three o'clock. (Cuckoo & chimes.),7,,EC48T,Cuckoo Clock (Cuckoo & Chimes),3,3.0,clock
07022196.wav,Cuckoo clock striking five o'clock. (Cuckoo & chimes.),8,,EC48T,Cuckoo Clock (Cuckoo & Chimes),5,3.0,clock
07022227.wav,Domestic clock striking twelve o'clock. (English domestic clock with double-strike mechanism.),35,,EC48V,English Domestic Clock: Double Strike,12,3.0,clock
07022228.wav,"Domestic clock with striker removed striking one o'clock. (No chimes, hammer merely vibrates.)",7,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,1,3.0,clock
07022251.wav,"Lantern clock striking twelve o'clock. (Domestic lantern clock, manufactured 1615.)",46,,EC48Y,"Lantern Clock, 1615",12,3.0,clock
07022250.wav,"Lantern clock striking eleven o'clock. (Domestic lantern clock, manufactured 1615.)",43,,EC48Y,"Lantern Clock, 1615",11,3.0,clock
07022249.wav,"Lantern clock striking ten o'clock. (Domestic lantern clock, manufactured 1615.)",40,,EC48Y,"Lantern Clock, 1615",10,3.0,clock
07022248.wav,"Lantern clock striking nine o'clock. (Domestic lantern clock, manufactured 1615.)",35,,EC48Y,"Lantern Clock, 1615",9,3.0,clock
07022247.wav,"Lantern clock striking eight o'clock. (Domestic lantern clock, manufactured 1615.)",32,,EC48Y,"Lantern Clock, 1615",8,3.0,clock
07022246.wav,"Lantern clock striking seven o'clock. (Domestic lantern clock, manufactured 1615.)",30,,EC48Y,"Lantern Clock, 1615",7,3.0,clock
07022245.wav,"Lantern clock striking six o'clock. (Domestic lantern clock, manufactured 1615.)",26,,EC48Y,"Lantern Clock, 1615",6,3.0,clock
07022244.wav,"Lantern clock striking five o'clock. (Domestic lantern clock, manufactured 1615.)",24,,EC48Y,"Lantern Clock, 1615",5,3.0,clock
07022243.wav,"Lantern clock striking four o'clock. (Domestic lantern clock, manufactured 1615.)",21,,EC48Y,"Lantern Clock, 1615",4,3.0,clock
07022242.wav,"Lantern clock striking three o'clock. (Domestic lantern clock, manufactured 1615.)",17,,EC48Y,"Lantern Clock, 1615",3,3.0,clock
07022229.wav,"Domestic clock with striker removed striking two o'clock. (No chimes, hammer merely vibrates.)",8,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,2,3.0,clock
07022230.wav,"Domestic clock with striker removed striking three o'clock. (No chimes, hammer merely vibrates.)",11,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,3,3.0,clock
07022241.wav,"Lantern clock striking two o'clock. (Domestic lantern clock, manufactured 1615.)",13,,EC48Y,"Lantern Clock, 1615",2,3.0,clock
07022231.wav,"Domestic clock with striker removed striking four o'clock. (No chimes, hammer merely vibrates.)",13,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,4,3.0,clock
07022232.wav,"Domestic clock with striker removed striking five o'clock. (No chimes, hammer merely vibrates.)",15,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,5,3.0,clock
07022233.wav,"Domestic clock with striker removed striking six o'clock. (No chimes, hammer merely vibrates.)",17,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,6,3.0,clock
07022240.wav,"Lantern clock striking one o'clock. (Domestic lantern clock, manufactured 1615.)",11,,EC48Y,"Lantern Clock, 1615",1,3.0,clock
07022239.wav,"Domestic clock with striker removed striking twelve o'clock. (No chimes, hammer merely vibrates.)",29,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,12,3.0,clock
07022238.wav,"Domestic clock with striker removed striking eleven o'clock. (No chimes, hammer merely vibrates.)",27,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,11,3.0,clock
07022237.wav,"Domestic clock with striker removed striking ten o'clock. (No chimes, hammer merely vibrates.)",25,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,10,3.0,clock
07022234.wav,"Domestic clock with striker removed striking seven o'clock. (No chimes, hammer merely vibrates.)",19,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,7,3.0,clock
07022235.wav,"Domestic clock with striker removed striking eight o'clock. (No chimes, hammer merely vibrates.)",20,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,8,3.0,clock
07022236.wav,"Domestic clock with striker removed striking nine o'clock. (No chimes, hammer merely vibrates.)",23,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,9,3.0,clock
07022226.wav,Domestic clock striking eleven o'clock. (English domestic clock with double-strike mechanism.),32,,EC48V,English Domestic Clock: Double Strike,11,3.0,clock
07022225.wav,Domestic clock striking ten o'clock. (English domestic clock with double-strike mechanism.),31,,EC48V,English Domestic Clock: Double Strike,10,3.0,clock
07022224.wav,Domestic clock striking nine o'clock. (English domestic clock with double-strike mechanism.),29,,EC48V,English Domestic Clock: Double Strike,9,3.0,clock
07022223.wav,Domestic clock striking eight o'clock. (English domestic clock with double-strike mechanism.),25,,EC48V,English Domestic Clock: Double Strike,8,3.0,clock
07022197.wav,Cuckoo clock striking six o'clock. (Cuckoo & chimes.),10,,EC48T,Cuckoo Clock (Cuckoo & Chimes),6,3.0,clock
07022198.wav,Cuckoo clock striking seven o'clock. (Cuckoo & chimes.),11,,EC48T,Cuckoo Clock (Cuckoo & Chimes),7,3.0,clock
07022199.wav,Cuckoo clock striking eight o'clock. (Cuckoo & chimes.),11,,EC48T,Cuckoo Clock (Cuckoo & Chimes),8,3.0,clock
07022200.wav,Cuckoo clock striking nine o'clock. (Cuckoo & chimes.),12,,EC48T,Cuckoo Clock (Cuckoo & Chimes),9,3.0,clock
07022201.wav,Cuckoo clock striking ten o'clock. (Cuckoo & chimes.),14,,EC48T,Cuckoo Clock (Cuckoo & Chimes),10,3.0,clock
07022202.wav,Cuckoo clock striking eleven o'clock. (Cuckoo & chimes.),14,,EC48T,Cuckoo Clock (Cuckoo & Chimes),11,3.0,clock
07022203.wav,Cuckoo clock striking twelve o'clock. (Cuckoo & chimes.),15,,EC48T,Cuckoo Clock (Cuckoo & Chimes),12,3.0,clock
07022204.wav,Cuckoo clock striking one o'clock. (Cuckoo only.),6,,EC48U,Cuckoo Clock (Cuckoo Only),1,3.0,clock
07022205.wav,Cuckoo clock striking two o'clock. (Cuckoo only.),6,,EC48U,Cuckoo Clock (Cuckoo Only),2,3.0,clock
07022206.wav,Cuckoo clock striking three o'clock. (Cuckoo only.),6,,EC48U,Cuckoo Clock (Cuckoo Only),3,3.0,clock
07022207.wav,Cuckoo clock striking four o'clock. (Cuckoo only.),7,,EC48U,Cuckoo Clock (Cuckoo Only),4,3.0,clock
07022208.wav,Cuckoo clock striking five o'clock. (Cuckoo only.),8,,EC48U,Cuckoo Clock (Cuckoo Only),5,3.0,clock
07022195.wav,Cuckoo clock striking four o'clock. (Cuckoo & chimes.),8,,EC48T,Cuckoo Clock (Cuckoo & Chimes),4,3.0,clock
07022209.wav,Cuckoo clock striking six o'clock. (Cuckoo only.),8,,EC48U,Cuckoo Clock (Cuckoo Only),6,3.0,clock
07022211.wav,Cuckoo clock striking eight o'clock. (Cuckoo only.),10,,EC48U,Cuckoo Clock (Cuckoo Only),8,3.0,clock
07022212.wav,Cuckoo clock striking nine o'clock. (Cuckoo only.),11,,EC48U,Cuckoo Clock (Cuckoo Only),9,3.0,clock
07022213.wav,Cuckoo clock striking ten o'clock. (Cuckoo only.),11,,EC48U,Cuckoo Clock (Cuckoo Only),10,3.0,clock
07022214.wav,Cuckoo clock striking eleven o'clock. (Cuckoo only.),12,,EC48U,Cuckoo Clock (Cuckoo Only),11,3.0,clock
07022215.wav,Cuckoo clock striking twelve o'clock. (Cuckoo only.),13,,EC48U,Cuckoo Clock (Cuckoo Only),12,3.0,clock
07022216.wav,Domestic clock striking one o'clock. (English domestic clock with double-strike mechanism.),13,,EC48V,English Domestic Clock: Double Strike,1,3.0,clock
07022217.wav,Domestic clock striking two o'clock. (English domestic clock with double-strike mechanism.),14,,EC48V,English Domestic Clock: Double Strike,2,3.0,clock
07022218.wav,Domestic clock striking three o'clock. (English domestic clock with double-strike mechanism.),17,,EC48V,English Domestic Clock: Double Strike,3,3.0,clock
07022219.wav,Domestic clock striking four o'clock. (English domestic clock with double-strike mechanism.),18,,EC48V,English Domestic Clock: Double Strike,4,3.0,clock
07022220.wav,Domestic clock striking five o'clock. (English domestic clock with double-strike mechanism.),20,,EC48V,English Domestic Clock: Double Strike,5,3.0,clock
07022221.wav,Domestic clock striking six o'clock. (English domestic clock with double-strike mechanism.),21,,EC48V,English Domestic Clock: Double Strike,6,3.0,clock
07022222.wav,Domestic clock striking seven o'clock. (English domestic clock with double-strike mechanism.),23,,EC48V,English Domestic Clock: Double Strike,7,3.0,clock
07022210.wav,Cuckoo clock striking seven o'clock. (Cuckoo only.),9,,EC48U,Cuckoo Clock (Cuckoo Only),7,3.0,clock
07022132.wav,"Domestic clock striking six o'clock. (English domestic clock, manufactured 1810.)",32,,EC48L,"Domestic Clock (English, 1810)",12,3.0,clock
07022131.wav,"Domestic clock striking five o'clock. (English domestic clock, manufactured 1810.)",30,,EC48L,"Domestic Clock (English, 1810)",11,3.0,clock
07022130.wav,"Domestic clock striking four o'clock. (English domestic clock, manufactured 1810.)",29,,EC48L,"Domestic Clock (English, 1810)",10,3.0,clock
07022073.wav,Domestic clock striking ten o'clock. (Domestic clock with heavy gong.),31,,EC48G,Domestic Clock (Heavy Gong),1,3.0,clock
07022074.wav,Domestic clock striking eleven o'clock. (Domestic clock with heavy gong.),32,,EC48G,Domestic Clock (Heavy Gong),2,3.0,clock
07022075.wav,Domestic clock striking twelve o'clock. (Domestic clock with heavy gong.),34,,EC48G,Domestic Clock (Heavy Gong),3,3.0,clock
07022076.wav,Domestic clock striking one o'clock. (Domestic clock with heavy gong.),13,,EC48G,Domestic Clock (Heavy Gong),4,3.0,clock
07022077.wav,Domestic clock striking two o'clock. (Domestic clock with heavy gong.),16,,EC48G,Domestic Clock (Heavy Gong),5,3.0,clock
07022078.wav,Domestic clock striking three o'clock. (Domestic clock with heavy gong.),17,,EC48G,Domestic Clock (Heavy Gong),6,3.0,clock
07022079.wav,Domestic clock striking four o'clock. (Domestic clock with heavy gong.),20,,EC48G,Domestic Clock (Heavy Gong),7,3.0,clock
07022080.wav,Domestic clock striking five o'clock. (Domestic clock with heavy gong.),21,,EC48G,Domestic Clock (Heavy Gong),8,3.0,clock
07022081.wav,Domestic clock striking six o'clock. (Domestic clock with heavy gong.),23,,EC48G,Domestic Clock (Heavy Gong),9,3.0,clock
07022082.wav,Domestic clock striking seven o'clock. (Domestic clock with heavy gong.),25,,EC48G,Domestic Clock (Heavy Gong),10,3.0,clock
07022083.wav,Domestic clock striking eight o'clock. (Domestic clock with heavy gong.),26,,EC48G,Domestic Clock (Heavy Gong),11,3.0,clock
07022084.wav,Domestic clock striking nine o'clock. (Domestic clock with heavy gong.),29,,EC48G,Domestic Clock (Heavy Gong),12,3.0,clock
07022085.wav,Domestic clock striking ten o'clock. (Domestic clock with double-strike mechanism.),23,,EC48H,Domestic Clock (Bell: Double-Strike),1,3.0,clock
07022086.wav,Domestic clock striking eleven o'clock. (Domestic clock with double-strike mechanism.),23,,EC48H,Domestic Clock (Bell: Double-Strike),2,3.0,clock
07022087.wav,Domestic clock striking twelve o'clock. (Domestic clock with double-strike mechanism.),24,,EC48H,Domestic Clock (Bell: Double-Strike),3,3.0,clock
07022088.wav,Domestic clock striking one o'clock. (Domestic clock with double-strike mechanism.),11,,EC48H,Domestic Clock (Bell: Double-Strike),4,3.0,clock
07022089.wav,Domestic clock striking two o'clock. (Domestic clock with double-strike mechanism.),12,,EC48H,Domestic Clock (Bell: Double-Strike),5,3.0,clock
07022090.wav,Domestic clock striking three o'clock. (Domestic clock with double-strike mechanism.),13,,EC48H,Domestic Clock (Bell: Double-Strike),6,3.0,clock
07022091.wav,Domestic clock striking four o'clock. (Domestic clock with double-strike mechanism.),15,,EC48H,Domestic Clock (Bell: Double-Strike),7,3.0,clock
07022092.wav,Domestic clock striking five o'clock. (Domestic clock with double-strike mechanism.),16,,EC48H,Domestic Clock (Bell: Double-Strike),8,3.0,clock
07022093.wav,Domestic clock striking six o'clock. (Domestic clock with double-strike mechanism.),17,,EC48H,Domestic Clock (Bell: Double-Strike),9,3.0,clock
07022094.wav,Domestic clock striking seven o'clock. (Domestic clock with double-strike mechanism.),18,,EC48H,Domestic Clock (Bell: Double-Strike),10,3.0,clock
07022095.wav,Domestic clock striking eight o'clock. (Domestic clock with double-strike mechanism.),19,,EC48H,Domestic Clock (Bell: Double-Strike),11,3.0,clock
07022096.wav,Domestic clock striking nine o'clock. (Domestic clock with double-strike mechanism.),21,,EC48H,Domestic Clock (Bell: Double-Strike),12,3.0,clock
07022097.wav,Domestic clock striking ten o'clock. (Domestic clock with heavy double-strike mechanism.),32,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),1,3.0,clock
07022072.wav,Domestic clock striking nine o'clock. (Mid-perspective recording of domestic clock with bell.),24,,EC48F,Domestic Clock (Bell: Mid-Perspective),12,3.0,clock
07022071.wav,Domestic clock striking eight o'clock. (Mid-perspective recording of domestic clock with bell.),21,,EC48F,Domestic Clock (Bell: Mid-Perspective),11,3.0,clock
07022070.wav,Domestic clock striking seven o'clock. (Mid-perspective recording of domestic clock with bell.),19,,EC48F,Domestic Clock (Bell: Mid-Perspective),10,3.0,clock
07070144.wav,Grandfather clock (1710) - strikes 12,28,Clocks: Grandfather,ECD104,Time - Clocks & Bells,1,3.0,clock
07016222.wav,Christchurch College clock striking one o'clock.,31,,EC36W,"Christchurch College Clock, Oxford",4,3.0,clock
07016223.wav,Christchurch College clock striking two o'clock.,29,,EC36W,"Christchurch College Clock, Oxford",5,3.0,clock
07016224.wav,Christchurch College clock striking three o'clock.,33,,EC36W,"Christchurch College Clock, Oxford",6,3.0,clock
07016225.wav,Christchurch College clock striking four o'clock.,37,,EC36W,"Christchurch College Clock, Oxford",7,3.0,clock
07016226.wav,Christchurch College clock striking five o'clock.,40,,EC36W,"Christchurch College Clock, Oxford",8,3.0,clock
07016227.wav,Christchurch College clock striking six o'clock.,44,,EC36W,"Christchurch College Clock, Oxford",9,3.0,clock
07016228.wav,Christchurch College clock striking seven o'clock.,48,,EC36W,"Christchurch College Clock, Oxford",10,3.0,clock
07016229.wav,Christchurch College clock striking eight o'clock.,51,,EC36W,"Christchurch College Clock, Oxford",11,3.0,clock
07002213.wav,"Outdoor clock striking, chimes & 3 o'clock  SS. Peter & Paul ",46,,EC105Q,Outdoor Clock,6,3.0,clock
07016231.wav,Christchurch College clock striking ten o'clock.,58,,EC36X,"Christchurch College Clock, Oxford",2,3.0,clock
07016232.wav,Christchurch College clock striking eleven o'clock.,62,,EC36X,"Christchurch College Clock, Oxford",3,3.0,clock
07016233.wav,Christchurch College clock striking twelve o'clock.,66,,EC36X,"Christchurch College Clock, Oxford",4,3.0,clock
07022098.wav,Domestic clock striking eleven o'clock. (Domestic clock with heavy double-strike mechanism.),34,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),2,3.0,clock
07016234.wav,"Big Tom, bell in Christchurch College clock, striking 101 times.",291,,EC36X,"Christchurch College Clock, Oxford",5,3.0,clock
07022065.wav,Domestic clock striking two o'clock. (Mid-perspective recording of domestic clock with bell.),11,,EC48F,Domestic Clock (Bell: Mid-Perspective),5,3.0,clock
07022066.wav,Domestic clock striking three o'clock. (Mid-perspective recording of domestic clock with bell.),12,,EC48F,Domestic Clock (Bell: Mid-Perspective),6,3.0,clock
07022067.wav,Domestic clock striking four o'clock. (Mid-perspective recording of domestic clock with bell.),14,,EC48F,Domestic Clock (Bell: Mid-Perspective),7,3.0,clock
07022068.wav,Domestic clock striking five o'clock. (Mid-perspective recording of domestic clock with bell.),16,,EC48F,Domestic Clock (Bell: Mid-Perspective),8,3.0,clock
07022069.wav,Domestic clock striking six o'clock. (Mid-perspective recording of domestic clock with bell.),18,,EC48F,Domestic Clock (Bell: Mid-Perspective),9,3.0,clock
07070158.wav,French clock (late 19th Century) - strikes 12,18,Clocks: Striking,ECD104,Time - Clocks & Bells,15,3.0,clock
07070156.wav,English Walnut clock (1700) - strikes 12,16,Clocks: Striking,ECD104,Time - Clocks & Bells,13,3.0,clock
07070154.wav,Cuckoo clock (1820) - strikes 12,34,Clocks: Cuckoo,ECD104,Time - Clocks & Bells,11,3.0,clock
07070153.wav,Bracket clock (1740) with gong - strikes 12,23,Clocks: Gong,ECD104,Time - Clocks & Bells,10,3.0,clock
07070148.wav,Bracket clock (1920) with Westminster chimes - strikes 12,59,Clocks: Chiming,ECD104,Time - Clocks & Bells,5,3.0,clock
07070146.wav,Grandfather clock (1850) - strikes 12 (rapid),18,Clocks: Grandfather,ECD104,Time - Clocks & Bells,3,3.0,clock
07070145.wav,Grandfather clock (1750) - strikes 12,40,Clocks: Grandfather,ECD104,Time - Clocks & Bells,2,3.0,clock
07022064.wav,Domestic clock striking one o'clock. (Mid-perspective recording of domestic clock with bell.),8,,EC48F,Domestic Clock (Bell: Mid-Perspective),4,3.0,clock
07022099.wav,Domestic clock striking twelve o'clock. (Domestic clock with heavy double-strike mechanism.),37,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),3,3.0,clock
07022100.wav,Domestic clock striking one o'clock. (Domestic clock with heavy double-strike mechanism.),15,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),4,3.0,clock
07032129.wav,Emmanuel College clock striking one o'clock.,23,,EC212A,"Emmanuel College Clock, Cambridge",1,3.0,clock
07022104.wav,Domestic clock striking five o'clock. (Domestic clock with heavy double-strike mechanism.),23,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),8,3.0,clock
07022105.wav,Domestic clock striking six o'clock. (Domestic clock with heavy double-strike mechanism.),25,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),9,3.0,clock
07022106.wav,Domestic clock striking seven o'clock. (Domestic clock with heavy double-strike mechanism.),26,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),10,3.0,clock
07022107.wav,Domestic clock striking eight o'clock. (Domestic clock with heavy double-strike mechanism.),28,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),11,3.0,clock
07022108.wav,Domestic clock striking nine o'clock. (Domestic clock with heavy double-strike mechanism.),30,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),12,3.0,clock
07022109.wav,Domestic clock striking ten o'clock. (Domestic clock with double-strike on wood.),24,,EC48K,Domestic Clock (Double-Strike On Wood),1,3.0,clock
07022110.wav,Domestic clock striking eleven o'clock. (Domestic clock with double-strike on wood.),26,,EC48K,Domestic Clock (Double-Strike On Wood),2,3.0,clock
07022111.wav,Domestic clock striking twelve o'clock. (Domestic clock with double-strike on wood.),28,,EC48K,Domestic Clock (Double-Strike On Wood),3,3.0,clock
07022112.wav,Domestic clock striking one o'clock. (Domestic clock with double-strike on wood.),6,,EC48K,Domestic Clock (Double-Strike On Wood),4,3.0,clock
07022113.wav,Domestic clock striking two o'clock. (Domestic clock with double-strike on wood.),7,,EC48K,Domestic Clock (Double-Strike On Wood),5,3.0,clock
07022114.wav,Domestic clock striking three o'clock. (Domestic clock with double-strike on wood.),10,,EC48K,Domestic Clock (Double-Strike On Wood),6,3.0,clock
07022115.wav,Domestic clock striking four o'clock. (Domestic clock with double-strike on wood.),12,,EC48K,Domestic Clock (Double-Strike On Wood),7,3.0,clock
